"תאריך","שער","פתיחה","גבוה","נמוך","נפח","שינוי %"
"17.11.2025","151.84","151.20","153.32","151.20","13.60M","0.01%"
"14.11.2025","151.83","152.22","152.91","151.19","15.47M","-0.60%"
"13.11.2025","152.74","152.04","154.51","151.86","21.81M","-0.05%"
"12.11.2025","152.82","150.99","153.16","150.72","17.85M","1.42%"
"11.11.2025","150.68","147.60","150.82","147.60","12.66M","2.31%"
"10.11.2025","147.28","145.79","147.43","145.72","12.31M","0.78%"
"07.11.2025","146.14","145.84","146.15","144.72","14.52M","0.14%"
"06.11.2025","145.94","145.14","146.11","144.94","14.40M","0.19%"
"05.11.2025","145.66","144.63","146.26","144.38","13.15M","0.39%"
"04.11.2025","145.10","143.77","145.49","143.49","14.18M","0.45%"
"03.11.2025","144.45","144.07","144.55","142.82","12.28M","0.14%"
"31.10.2025","144.25","143.02","144.49","142.70","10.58M","-0.03%"
"30.10.2025","144.30","143.96","145.45","143.77","10.76M","0.22%"
"29.10.2025","143.98","145.22","145.45","143.57","12.42M","-1.01%"
"28.10.2025","145.45","146.40","146.54","145.19","8.65M","-0.63%"
"27.10.2025","146.37","146.09","146.45","145.22","6.47M","0.23%"
"24.10.2025","146.03","146.29","146.76","145.88","7.01M","-0.01%"
"23.10.2025","146.04","145.51","146.51","145.37","7.92M","0.05%"
"22.10.2025","145.96","146.21","146.73","145.54","12.71M","0.57%"
"21.10.2025","145.13","145.05","145.63","144.34","9.03M","0.23%"
"20.10.2025","144.79","143.71","144.99","143.56","8.44M","1.06%"
"17.10.2025","143.27","141.58","143.42","141.38","8.16M","0.67%"
"16.10.2025","142.32","142.85","143.64","141.96","11.19M","-0.17%"
"15.10.2025","142.56","142.02","143.25","141.36","7.26M","0.15%"
"14.10.2025","142.34","141.60","142.86","141.05","10.04M","0.27%"
"13.10.2025","141.95","141.73","142.94","141.63","8.26M","-0.11%"
"10.10.2025","142.11","144.61","144.74","141.94","13.35M","-1.44%"
"09.10.2025","144.19","144.78","145.25","143.96","7.66M","-0.22%"
"08.10.2025","144.51","144.60","144.96","144.02","8.93M","0.19%"
"07.10.2025","144.23","144.12","144.66","143.28","12.48M","0.08%"
"06.10.2025","144.12","144.90","145.06","143.97","12.88M","-0.48%"
"03.10.2025","144.82","143.57","146.13","143.56","15.83M","1.14%"
"02.10.2025","143.19","142.15","143.57","142.15","15.18M","-0.20%"
"01.10.2025","143.47","139.80","143.73","139.60","23.66M","3.09%"
"30.09.2025","139.17","135.76","139.49","135.67","19.31M","2.41%"
"29.09.2025","135.90","135.68","135.97","134.74","7.74M","0.30%"
"26.09.2025","135.50","135.15","135.62","134.64","10.07M","1.02%"
"25.09.2025","134.13","136.13","136.18","133.73","14.10M","-1.66%"
"24.09.2025","136.39","136.82","137.06","136.16","7.47M","-0.40%"
"23.09.2025","136.94","136.26","137.35","136.15","9.90M","0.23%"
"22.09.2025","136.63","136.19","137.26","135.88","9.73M","-0.48%"
"19.09.2025","137.29","137.82","137.90","137.18","11.28M","-0.13%"
"18.09.2025","137.47","137.20","137.94","136.89","11.47M","0.20%"
"17.09.2025","137.20","137.13","138.29","136.84","12.50M","0.20%"
"16.09.2025","136.93","136.66","137.39","136.54","12.44M","0.00%"
"15.09.2025","136.93","138.26","138.54","136.66","11.23M","-0.85%"
"12.09.2025","138.11","139.23","139.81","138.10","11.35M","-1.15%"
"11.09.2025","139.72","138.04","139.99","137.89","16.47M","1.74%"
"10.09.2025","137.33","138.51","138.51","136.80","13.59M","-0.91%"
"09.09.2025","138.59","138.06","138.97","137.72","12.25M","0.54%"
"08.09.2025","137.85","137.46","137.87","136.37","15.75M","-0.04%"
"05.09.2025","137.90","137.28","138.38","137.05","14.66M","0.34%"
"04.09.2025","137.43","136.80","137.46","136.08","11.78M","0.38%"
"03.09.2025","136.91","137.11","137.76","136.24","12.59M","-0.47%"
"02.09.2025","137.56","136.89","137.74","136.46","13.33M","0.09%"
"29.08.2025","137.43","136.54","137.46","136.37","9.66M","0.73%"
"28.08.2025","136.43","136.83","136.85","135.76","9.17M","-0.39%"
"27.08.2025","136.97","136.99","137.71","136.73","8.32M","-0.06%"
"26.08.2025","137.05","136.59","137.17","136.34","11.40M","0.62%"
"25.08.2025","136.20","138.14","138.26","136.10","10.68M","-1.43%"
"22.08.2025","138.17","137.80","139.02","137.80","11.90M","0.82%"
"21.08.2025","137.04","137.21","138.46","136.94","13.22M","-0.33%"
"20.08.2025","137.50","137.01","138.21","137.01","14.61M","0.54%"
"19.08.2025","136.76","135.87","137.21","135.78","13.58M","0.64%"
"18.08.2025","135.89","136.53","137.19","135.82","12.57M","-0.23%"
"15.08.2025","136.21","135.48","136.60","135.18","13.93M","1.68%"
"14.08.2025","133.96","133.06","134.10","132.40","15.46M","0.50%"
"13.08.2025","133.29","131.82","133.37","131.65","15.07M","1.60%"
"12.08.2025","131.19","130.34","131.23","130.13","17.22M","0.69%"
"11.08.2025","130.29","130.29","131.32","130.14","14.47M","0.10%"
"08.08.2025","130.16","129.23","130.44","129.23","13.75M","0.89%"
"07.08.2025","129.01","129.77","130.24","127.96","24.42M","-1.15%"
"06.08.2025","130.51","131.94","132.05","130.35","14.34M","-1.50%"
"05.08.2025","132.50","132.45","132.95","132.04","14.32M","-0.38%"
"04.08.2025","133.01","131.39","133.07","131.36","11.33M","1.43%"
"01.08.2025","131.13","130.70","131.40","129.86","20.74M","0.54%"
"31.07.2025","130.43","133.02","133.79","129.98","26.44M","-2.80%"
"30.07.2025","134.19","134.88","135.18","133.64","11.63M","-0.18%"
"29.07.2025","134.43","133.90","135.10","132.94","14.97M","-0.64%"
"28.07.2025","135.29","136.14","136.39","134.93","9.78M","-0.87%"
"25.07.2025","136.48","136.24","136.70","135.74","9.54M","0.53%"
"24.07.2025","135.76","136.13","136.93","135.54","11.05M","-0.37%"
"23.07.2025","136.27","135.26","136.32","134.80","16.62M","2.05%"
"22.07.2025","133.53","131.31","133.81","131.31","16.68M","1.86%"
"21.07.2025","131.09","131.91","132.32","131.02","9.47M","-0.57%"
"18.07.2025","131.84","133.07","133.24","131.66","13.25M","-0.66%"
"17.07.2025","132.72","133.29","133.68","132.28","15.74M","-1.14%"
"16.07.2025","134.25","133.14","134.42","133.00","14.14M","1.24%"
"15.07.2025","132.60","135.23","135.47","132.47","17.10M","-1.80%"
"14.07.2025","135.03","134.65","135.31","134.40","11.10M","-0.12%"
"11.07.2025","135.19","135.88","135.88","134.35","14.25M","-0.83%"
"10.07.2025","136.32","135.51","137.63","135.00","17.67M","0.61%"
"09.07.2025","135.49","135.25","135.92","134.42","13.96M","0.39%"
"08.07.2025","134.97","134.26","136.22","134.01","19.49M","0.45%"
"07.07.2025","134.36","135.45","135.45","133.65","14.05M","-0.84%"
"03.07.2025","135.50","135.55","135.90","135.16","7.28M","0.10%"
"02.07.2025","135.36","136.02","136.29","135.24","13.72M","-0.99%"
"01.07.2025","136.71","134.58","137.76","134.46","21.20M","1.42%"
"30.06.2025","134.79","133.90","134.95","133.80","12.41M","0.64%"
"27.06.2025","133.93","134.32","135.13","133.70","13.82M","-0.22%"
"26.06.2025","134.22","134.18","135.16","133.74","13.18M","0.24%"
"25.06.2025","133.90","133.52","134.29","132.77","12.00M","0.09%"
"24.06.2025","133.78","132.51","134.08","132.00","11.27M","1.23%"
"23.06.2025","132.16","132.06","132.74","130.98","14.18M","-0.33%"
"20.06.2025","132.60","133.70","133.80","132.41","13.75M","-0.48%"
"18.06.2025","133.24","133.48","134.12","132.49","12.19M","-0.17%"
"17.06.2025","133.47","135.10","135.41","133.29","13.51M","-1.65%"
"16.06.2025","135.71","136.42","136.83","135.08","14.17M","-0.31%"
"13.06.2025","136.13","136.06","137.33","135.68","13.72M","-0.50%"
"12.06.2025","136.81","135.76","136.84","135.49","9.81M","0.78%"
"11.06.2025","135.75","135.71","136.57","135.34","13.64M","0.05%"
"10.06.2025","135.68","134.27","136.09","134.25","11.49M","1.14%"
"09.06.2025","134.15","134.35","134.81","133.39","9.98M","-0.17%"
"06.06.2025","134.38","133.81","134.84","133.79","9.15M","0.95%"
"05.06.2025","133.11","133.62","133.90","132.57","13.71M","-0.14%"
"04.06.2025","133.29","133.43","134.33","133.29","9.99M","0.20%"
"03.06.2025","133.03","132.37","133.52","131.73","14.30M","0.23%"
"02.06.2025","132.72","132.30","132.78","131.11","11.85M","0.06%"
"30.05.2025","132.64","132.07","133.34","130.88","11.65M","0.21%"
"29.05.2025","132.36","131.68","132.76","131.29","10.67M","0.67%"
"28.05.2025","131.48","132.11","132.58","131.13","11.09M","-0.51%"
